py,gap,gap_se,provid,year,n_princeling,g_xi,g_insp,treat_xi
302008,-0.890289690397692,0.13252544233174868,30,2008,30,2014,2014,0.0
302009,-0.41148382884684126,0.12298908528305628,30,2009,13,2014,2014,0.0
302010,-0.4555331026049999,0.07891435443020897,30,2010,23,2014,2014,0.0
302011,-0.8868966785675231,0.14286776772662624,30,2011,12,2014,2014,0.0
302012,-0.9672059809401514,0.07514088254438984,30,2012,42,2014,2014,0.0
302013,-0.7547929037833017,0.20582617164775466,30,2013,15,2014,2014,0.0
302014,0.4273457700765958,0.40985570781701347,30,2014,6,2014,2014,1.0
312007,-0.9669128998219805,0.02175304256686375,31,2007,154,0,2014,0.0
312008,-1.0712507700532188,0.026438366608401168,31,2008,305,0,2014,0.0
312009,-0.8347724816720863,0.02594563403027625,31,2009,220,0,2014,0.0
312010,-0.7956034412518237,0.03233984466383289,31,2010,235,0,2014,0.0
312011,-0.7972031187592372,0.024638030000893537,31,2011,288,0,2014,0.0
312012,-0.9298918285490834,0.03512654229495544,31,2012,139,0,2014,0.0
312013,-0.867631171192967,0.06119873284274423,31,2013,115,0,2014,0.0
312014,-0.6532928458721712,0.05796689023417972,31,2014,62,0,2014,0.0
312015,-0.6099686715414414,0.12789616840359924,31,2015,25,0,2014,0.0
312016,-0.7859488297334826,0.08310750912895631,31,2016,21,0,2014,0.0
322007,-0.8215667702048571,0.07030219573236046,32,2007,22,0,0,0.0
322008,-0.840859348753877,0.021725660454864296,32,2008,104,0,0,0.0
322009,-0.8256656422656958,0.022034579119341854,32,2009,38,0,0,0.0
322010,-0.8260738554489675,0.024112463748980836,32,2010,84,0,0,0.0
322011,-0.7681329005567615,0.03696430672552958,32,2011,65,0,0,0.0
322012,-0.84291000556875,0.025331952462250906,32,2012,41,0,0,0.0
322013,-0.8141252321781207,0.06532156871484421,32,2013,15,0,0,0.0
