exhibit,row,col,file,y,cond,kernel,bwselect,masspts,version,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r,bw_source
T3,resid1_lnk,2,T3_Channels/channels_QJE_final.dta,resid1_lnk,neg_ind0==1,epa,mserd,off,statspai_matched,5380,5.596682961364279,5.596682961364279,8.570813225247832,8.570813225247832,-0.4452843909861329,0.26783443574399834,-0.5043358179632317,0.33281344689544456,873,422,rdrobust_py_masspoints_off
T3,resid1_lnk,3,T3_Channels/channels_QJE_final.dta,resid1_lnk,neg_ind0==1,uni,mserd,off,statspai_native,5380,4.394316151107395,4.394316151107395,7.366549125103093,7.366549125103093,-0.45742775530814034,0.28770082271563346,-0.5068443965149948,0.36997593348781205,657,316,
T3,resid1_lnk,3,T3_Channels/channels_QJE_final.dta,resid1_lnk,neg_ind0==1,uni,mserd,off,statspai_matched,5380,4.003213180558237,4.003213180558237,7.091749506607422,7.091749506607422,-0.6090456570786286,0.2889727765822966,-0.6977513629104704,0.36055758759873663,633,305,rdrobust_py_masspoints_off
T3,resid1_lnk,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnk,neg_ind0==1,tri,mserd,off,statspai_native,2271,6.239476250684752,6.239476250684752,9.693528499864826,9.693528499864826,-0.1300145654265931,0.22513990462403113,-0.11932573102142276,0.2712954611560018,490,327,
T3,resid1_lnk,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnk,neg_ind0==1,tri,mserd,off,statspai_matched,2271,7.689767720049529,7.689767720049529,11.013891456597559,11.013891456597559,-0.09766820604181674,0.21233818540874913,-0.059654848476284494,0.26464550382867247,649,459,rdrobust_py_masspoints_off
T3,resid1_lnk,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnk,neg_ind0==1,epa,mserd,off,statspai_native,2271,5.954491531084954,5.954491531084954,9.411631727127668,9.411631727127668,-0.10896072460570759,0.22801643856847317,-0.08252356260391122,0.2757019193252583,466,299,
T3,resid1_lnk,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnk,neg_ind0==1,epa,mserd,off,statspai_matched,2271,6.386089642213073,6.386089642213073,9.699045315010748,9.699045315010748,-0.07800193061469538,0.2234380974340716,-0.040603895631250955,0.2763113139383678,492,346,rdrobust_py_masspoints_off
T3,resid1_lnk,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnk,neg_ind0==1,uni,mserd,off,statspai_native,2271,5.606328302807412,5.606328302807412,9.247730074646423,9.247730074646423,-0.010804755826067325,0.23880258449186315,0.01619773172887856,0.28921996539774913,421,228,
T3,resid1_lnk,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnk,neg_ind0==1,uni,mserd,off,statspai_matched,2271,4.781934221686839,4.781934221686839,8.45424514997095,8.45424514997095,-0.10298031765831771,0.2585722985046604,-0.04206954994803297,0.28944861931755933,330,171,rdrobust_py_masspoints_off
T3,resid1_lnm,1,T3_Channels/channels_QJE_final.dta,resid1_lnm,neg_ind0==1,tri,mserd,off,statspai_native,5540,4.436084101567899,4.436084101567899,7.43195226237881,7.43195226237881,-0.09590606929020766,0.26519514703358416,-0.11102476265634344,0.3025977667204131,690,326,
